GRB	AngleFromZenith	MinutesSinceTrigger	Time1FOV	Time2FOV
GRB141205337	18.874427141696316	1101886877.4907675	1101801917.4907675	1101810497.4907675
GRB141206254	16.506321545534213	1101941391.7100353	1101931371.7100353	1101931371.7100353
GRB141208632	7.531405011676294	1102122958.319395	1102112398.319395	1102133578.319395
GRB141213300	0.9637665368778445	1102527195.4290533	1102516455.4290533	1102516455.4290533
GRB150101270	17.798146497059708	1104179753.7614107	1104169853.7614107	1104169853.7614107
GRB150110923	13.556909254685674	1105035811.909834	1105025551.909834	1105046071.909834
GRB150120123	15.083728051898001	1105830707.004653	1105820567.004653	1105840787.004653
GRB150201040	0.8472266477471114	1106863494.2887583	1106787414.2887583	1106852754.2887583
GRB150208929	15.978496206571469	1107549258.6163292	1107469038.6163292	1107539178.6163292
GRB150215026	15.566083187744253	1108055426.597165	1108045406.597165	1108065506.597165
GRB150226223	3.5518731389821023	1109031506.7779331	1109020766.7779331	1109020766.7779331
GRB150316400	34.22479156993049	1110571029.198576	1110564069.198576	1110564069.198576
GRB150325696	18.694425762815005	1111374602.495203	1111364822.495203	1111364822.495203
GRB150412507	16.17080142645605	1112938356.7416477	1112928336.7416477	1112928336.7416477
GRB150412931	1.0726027437207972	1112946396.2019835	1112935656.2019835	1112957136.2019835
GRB150506972	22.293627367627753	1115054775.197606	1115045415.197606	1115045415.197606
GRB150522944	39.52749832560629	1116371564.0679264	1116369524.0679264	1116376664.0679264
GRB150605782	4.350521650816386	1117598659.035696	1117587979.035696	1117587979.035696
GRB150609316	12.684344894772114	1117903699.382697	1117893379.382697	1117914019.382697
GRB150705588	25.583745714783937	1120147391.607975	1120140431.607975	1120224671.607975
GRB150715136	4.496180858967218	1121030728.1893244	1121020048.1893244	1121041408.1893244
GRB150721431	1.0427712834909035	1121570286.4472542	1121559546.4472542	1121581026.4472542
GRB150728151	1.9542046987414978	1122137246.4935713	1122126506.4935713	1122126506.4935713
GRB150810485	2.2117517267523246	1123301108.909894	1123290428.909894	1123311848.909894
GRB150819440	20.748428153352645	1124023039.496995	1124015599.496995	1124099659.496995
GRB150901924	5.390803192106105	1125219044.4709349	1125208364.4709349	1125229724.4709349
GRB150906944	17.974273515998075	1125696707.3068037	1125614327.3068037	1125620387.3068037
GRB150922234	24.438753767315127	1127008889.0763845	1126999829.0763845	1126999829.0763845
GRB150923297	12.894130287823225	1127100396.1840801	1127090076.1840801	1127110716.1840801
GRB151022577	21.202505264292586	1129635902.0891237	1129557062.0891237	1129559222.0891237
GRB151024179	3.906797122804294	1129751393.560464	1129740713.560464	1129762073.560464
GRB151222340	17.79597794386748	1134864373.6240025	1134854473.6240025	1134854473.6240025
GRB151229486	11.996686162560469	1135465446.4684134	1135455066.4684134	1135455066.4684134
GRB151231568	9.735248094140301	1135676888.1653566	1135666448.1653566	1135687388.1653566
GRB160211119	34.38283219359575	1139203188.2759523	1139196288.2759523	1139210148.2759523
GRB160219289	40.86339470576402	1139949498.137702	1139945058.137702	1139953998.137702
GRB160224911	18.176901188764024	1140456562.8705406	1140446722.8705406	1140446722.8705406
GRB160314473	16.25332195665448	1142055925.4879427	1142045905.4879427	1142045905.4879427
GRB160315739	41.03749519594091	1142179850.3410559	1142175470.3410559	1142175470.3410559
GRB160406503	13.254259706034905	1144061556.798211	1143979476.798211	1143985656.798211
GRB160609690	26.03511528415202	1149605416.636119	1149525196.636119	1149528016.636119
GRB160624477	10.72841697112902	1150884901.352563	1150802821.352563	1150809181.352563
GRB160628136	19.17585517008203	1151171601.2878275	1151161881.2878275	1151161881.2878275
GRB160726065	25.655094275034728	1153586767.718131	1153577947.718131	1153595587.718131
GRB160727971	2.672014834398081	1153770409.2688322	1153759669.2688322	1153759669.2688322
GRB160804180	31.254225554511596	1154368003.2442656	1154360323.2442656	1154375743.2442656
GRB160804968	26.66231202836115	1154447073.8207521	1154438433.8207521	1154438433.8207521
GRB160806584	8.376158384888184	1154576638.4205408	1154566078.4205408	1154566078.4205408
GRB160814622	37.5999511760524	1155291598.3817472	1155285718.3817472	1155285718.3817472
GRB160818230	18.31850499089577	1155584033.5422812	1155574253.5422812	1155593873.5422812
GRB160820496	6.028830294470483	1155806110.646265	1155729250.646265	1155795430.646265
GRB160822672	15.401841879465664	1155954700.010045	1155944560.010045	1155944560.010045
GRB160826938	20.039695796630415	1156345370.8781958	1156335770.8781958	1156354970.8781958
GRB161015400	39.11453506588057	1160583181.104106	1160577901.104106	1160588521.104106
GRB161026373	22.88908803945566	1161592576.2808132	1161507436.2808132	1161583336.2808132
GRB161115745	39.160721165512285	1163297671.6244354	1163292391.6244354	1163302951.6244354
GRB161121186	20.672279457777034	1163761717.2995996	1163752177.2995996	1163771257.2995996
GRB161217128	32.91034714988098	1166022585.7861824	1166015265.7861824	1166029905.7861824
GRB161227498	20.170061311906082	1166937618.214099	1166928018.214099	1166947218.214099
GRB170101374	9.816085166244479	1167300933.9090528	1167296313.9090528	1167376593.9090528
GRB170111760	42.47826556257367	1168239156.1246853	1168235676.1246853	1168242696.1246853
GRB170121133	5.230961767007769	1169044372.0245981	1169033752.0245981	1169033752.0245981
GRB170124528	7.882393382410317	1169333729.0316286	1169323169.0316286	1169344349.0316286
GRB170125022	9.576082654655616	1169394373.70401	1169383873.70401	1169404873.70401
GRB170203486	19.545614695734265	1170165265.8549309	1170157225.8549309	1170241765.8549309
GRB170206453	4.596264935869952	1170416037.6959906	1170413517.6959906	1170491517.6959906
GRB170219002	31.12955716230111	1171498387.1230469	1171497787.1230469	1171576807.1230469
GRB170222209	9.252450729263192	1171813859.0802908	1171803359.0802908	1171824359.0802908
GRB170302166	10.306969378083837	1172469984.2823067	1172462304.2823067	1172480424.2823067
GRB170305256	6.833341219452647	1172786946.7843866	1172776326.7843866	1172776326.7843866
GRB170318644	12.674344137740007	1173965873.0882206	1173886073.0882206	1173890033.0882206
GRB170325331	1.4718258784158385	1174531498.0410528	1174520758.0410528	1174520758.0410528
GRB170403583	0.6437767750717219	1175338517.7975454	1175327777.7975454	1175327777.7975454
GRB170430204	34.08988445016891	1177611259.7465754	1177604239.7465754	1177604239.7465754
GRB170504734	8.681755338710548	1178017590.9853916	1178007090.9853916	1178028150.9853916
GRB170506169	32.83692313119621	1178146788.201129	1178139408.201129	1178139408.201129
GRB170511477	37.554395058099395	1178573455.1231232	1178567515.1231232	1178567515.1231232
GRB170520202	24.32515993377784	1179298572.7004251	1179291072.7004251	1179375672.7004251
GRB170604603	21.76406522633681	1180700105.0863008	1180621685.0863008	1180623365.0863008
GRB170708046	0.8916045309565964	1183542431.2557306	1183531691.2557306	1183531691.2557306
GRB170709334	16.730933113466183	1183708583.9794273	1183622423.9794273	1183698623.9794273
GRB170711713	1.7399391669038788	1183873416.4770432	1183862676.4770432	1183884156.4770432
GRB170714049	10.635199070739821	1184069571.123043	1184059131.123043	1184080011.123043
GRB170723882	20.75786973439209	1184891538.2521343	1184882058.2521343	1184901078.2521343
GRB170803172	4.996937883570881	1185806835.7478018	1185796155.7478018	1185817455.7478018
GRB170816599	6.04483182000893	1186992603.954999	1186981923.954999	1186981923.954999
GRB170817908	31.085150429392787	1187100814.4338655	1187093074.4338655	1187108614.4338655
GRB170818137	12.596109184964426	1187065939.979434	1187061439.979434	1187076259.979434
GRB170826369	2.1208316123641007	1187785687.5142078	1187774947.5142078	1187774947.5142078
GRB170901007	20.506037316702365	1188292983.0192099	1188283443.0192099	1188283443.0192099
GRB170912985	11.78620958254045	1189341192.6725283	1189330872.6725283	1189351572.6725283
GRB170915520	29.566231185521335	1189555756.2661438	1189547656.2661438	1189563856.2661438
GRB170918139	15.396756976711982	1189760782.8797665	1189750702.8797665	1189750702.8797665
GRB171007498	23.783687204979035	1191421599.904128	1191412659.904128	1191498639.904128
GRB171008080	4.970571791425839	1191530978.894371	1191520298.894371	1191520298.894371
GRB171011810	7.838857299965918	1191862347.9459743	1191785187.9459743	1191786747.9459743
GRB171025213	23.299872228053665	1192995774.146102	1192986594.146102	1192986594.146102
GRB171030729	38.51929770956168	1193474805.1222086	1193469285.1222086	1193480385.1222086
GRB171108656	10.06070330628242	1194258886.5040607	1194248446.5040607	1194269386.5040607
GRB171126235	27.71535849924741	1195754263.7086172	1195745803.7086172	1195745803.7086172
GRB171207055	32.747822225294996	1196720382.451805	1196713062.451805	1196727762.451805
GRB171208733	10.0047276257672	1196847529.6953888	1196837089.6953888	1196837089.6953888
GRB171219279	37.02308182336483	1197743657.0788898	1197737597.0788898	1197749777.0788898
GRB171230119	31.261228647279154	1198704806.1413565	1198697066.1413565	1198712546.1413565
GRB180103090	9.105160650659148	1199063832.117917	1198980552.117917	1198988232.117917
GRB180110608	32.21340308799056	1199691179.218483	1199683679.218483	1199698679.218483
GRB180123820	10.945489558864493	1200810949.7736197	1200800509.7736197	1200800509.7736197
GRB180128881	32.464964204434374	1201289239.456503	1201208959.456503	1201281799.456503
GRB180130744	33.61974396499664	1201416926.790739	1201409846.790739	1201424066.790739
GRB180201780	33.527543070163624	1201574685.496935	1201567545.496935	1201567545.496935
GRB180204109	11.929927229968792	1201807876.9261637	1201797496.9261637	1201797496.9261637
GRB180206203	1.3357361618019064	1201956423.0019007	1201945683.0019007	1201945683.0019007
GRB180225417	28.587426232546377	1203667794.1754208	1203588054.1754208	1203589914.1754208
GRB180227211	24.452167008134737	1203820396.5605373	1203743056.5605373	1203743236.5605373
GRB180404848	6.457655640841997	1206923011.558445	1206912391.558445	1206912391.558445
GRB180418281	5.838480229233361	1208145726.281664	1208069046.281664	1208135046.281664
GRB180511364	27.208688304396315	1210146695.785718	1210063415.785718	1210069115.785718
GRB180511437	9.946459468637348	1210148452.6058874	1210069792.6058874	1210072792.6058874
GRB180523782	30.35683414283533	1211161048.1069183	1211153128.1069183	1211168968.1069183
GRB180524920	11.12384339724927	1211313122.371603	1211234702.371603	1211302682.371603
GRB180525151	0.910894880906203	1211317799.082182	1211307059.082182	1211328539.082182
GRB180617872	5.845658466171201	1213386563.4634943	1213304123.4634943	1213311083.4634943
GRB180626392	25.853208933984504	1214118530.6480064	1214040230.6480064	1214109710.6480064
GRB180715087	20.26487601580171	1215680534.4757538	1215670934.4757538	1215690134.4757538
GRB180715755	19.97430912687823	1215743705.0613022	1215734045.0613022	1215734045.0613022
GRB180718082	16.11139046624319	1215940184.6008902	1215930164.6008902	1215950204.6008902
GRB180721642	6.129847795185388	1216260667.9338436	1216250047.9338436	1216271347.9338436
GRB180728882	3.1244563138260446	1216860718.9127903	1216849978.9127903	1216849978.9127903
GRB180730018	25.52965359808731	1217003380.343175	1216994560.343175	1217012200.343175
GRB180801276	30.470096996886426	1217209863.5142813	1217202003.5142813	1217217783.5142813
GRB180803590	38.685594134201864	1217341729.7338848	1217340589.7338848	1217347189.7338848
GRB180804909	10.806236781117848	1217539682.18015	1217454542.18015	1217529242.18015
GRB180818179	16.76603629388327	1218659997.029683	1218650037.029683	1218650037.029683
GRB180906988	24.384612900569746	1220330374.1638556	1220321314.1638556	1220321314.1638556
GRB180913783	25.478850590488253	1220941267.540186	1220932387.540186	1220932387.540186
GRB180917477	22.55025583697765	1221240341.8043041	1221231041.8043041	1221249641.8043041
GRB180927993	20.767791295463862	1222206260.193139	1222127360.193139	1222196720.193139
GRB180929453	27.983842464507827	1222294473.919363	1222286073.919363	1222302873.919363
GRB181002617	25.479129801841886	1222559147.3415642	1222550267.3415642	1222550267.3415642
GRB181016718	3.488375341000633	1223789605.403491	1223778865.403491	1223778865.403491
GRB181121307	12.435693506342325	1226833949.2676544	1226823629.2676544	1226823629.2676544
GRB181121401	18.555206685336	1226862779.2951097	1226852999.2951097	1226872559.2951097
GRB181125371	21.607524040310878	1227211481.7323809	1227202061.7323809	1227202061.7323809
GRB181126162	0.2701586339757384	1227252710.3499355	1227241970.3499355	1227241970.3499355
GRB181222841	3.937591510273883	1229548177.4383965	1229544697.4383965	1229623597.4383965
GRB190226515	27.682662867414194	1235300385.6761951	1235218905.6761951	1235291925.6761951
GRB190323548	22.775632872602973	1237404424.8424034	1237395184.8424034	1237413724.8424034
GRB190407788	27.04403881447702	1238741801.5776672	1238733221.5776672	1238733221.5776672
GRB190427190	21.34366018513558	1240397415.0807066	1240387935.0807066	1240387935.0807066
GRB190504678	13.936833834548993	1241052568.313385	1241042368.313385	1241042368.313385
GRB190505051	23.27855939111714	1241099949.329568	1241090769.329568	1241109129.329568
GRB190510430	14.489377673816728	1241567356.0438662	1241557156.0438662	1241557156.0438662
GRB190515190	10.20299412598157	1242000423.135168	1241989983.135168	1242010923.135168
GRB190525032	13.448873828575314	1242823847.6516733	1242813587.6516733	1242813587.6516733
GRB190531568	19.872923995961624	1243411683.822116	1243402083.822116	1243402083.822116
GRB190601325	35.49440844968093	1243471284.1757946	1243464684.1757946	1243464684.1757946
GRB190605974	14.108854959102636	1243857627.1178398	1243847427.1178398	1243847427.1178398
GRB190606080	19.651969566200272	1243881427.77625	1243871767.77625	1243891087.77625
GRB190610834	34.85098214603875	1244283083.684803	1244276303.684803	1244276303.684803
GRB190630257	20.260441760309167	1245918358.3190498	1245910198.3190498	1245927958.3190498
GRB190724031	3.9494122657842072	1248039716.792265	1247964236.792265	1247964296.792265
GRB190728271	13.458119350210605	1248342816.8524227	1248332556.8524227	1248332556.8524227
GRB190822705	27.146388715651558	1250529389.1160126	1250528129.1160126	1250537969.1160126
GRB190905985	15.93338983722907	1251846328.4886522	1251761908.4886522	1251836248.4886522
GRB190913155	25.94880393043986	1252453929.3320541	1252445169.3320541	1252462749.3320541
GRB190923617	29.90619640648959	1253343122.7511778	1253335082.7511778	1253335082.7511778
GRB191017957	3.741083369155298	1255441280.586403	1255430600.586403	1255430600.586403
GRB191028174	30.1989752429479	1256347141.3980293	1256339161.3980293	1256339161.3980293
GRB191031891	28.673049172384	1256597011.1281729	1256592211.1281729	1256605291.1281729
GRB191117637	11.862765327113525	1258117838.360775	1258039058.360775	1258042058.360775
GRB191203290	32.91463672483005	1259452159.0760546	1259444839.0760546	1259444839.0760546
GRB200128153	22.470458773877443	1264235825.7749958	1264226525.7749958	1264226525.7749958
GRB200221162	14.041233875765734	1266303358.7112093	1266293158.7112093	1266293158.7112093
GRB200224416	38.65729864324731	1266655184.5669537	1266573524.5669537	1266574484.5669537
GRB200306934	13.788100360956495	1267641865.3267107	1267631665.3267107	1267652125.3267107
GRB200313456	21.39988277444956	1268209752.130128	1268132232.130128	1268133012.130128
GRB200327873	23.276346031973056	1269424308.1653023	1269415068.1653023	1269415068.1653023
GRB200407265	16.552812729022097	1270295881.4815197	1270285861.4815197	1270285861.4815197
GRB200420106	39.205292934972185	1271422378.5975552	1271417098.5975552	1271417098.5975552
GRB200514380	18.165606180680392	1273560577.1238241	1273482457.1238241	1273550737.1238241
GRB200626105	2.8600350179291314	1277229511.7518177	1277218771.7518177	1277240251.7518177
GRB200703341	26.408899000473077	1277870619.610839	1277861919.610839	1277879319.610839
GRB200706231	35.61622293942286	1278091629.3255358	1278085089.3255358	1278098229.3255358
GRB200710036	14.992174884028632	1278433507.0727806	1278423427.0727806	1278443647.0727806
GRB200713919	31.363040619377063	1278728680.0923166	1278721000.0923166	1278721000.0923166
GRB200714661	12.18353915056679	1278849016.7937317	1278838636.7937317	1278838636.7937317
GRB200818998	3.0301336364601394	1281911118.337306	1281830238.337306	1281835698.337306
GRB200824594	8.576474188783596	1282320458.8180513	1282313738.8180513	1282396058.8180513
GRB200826187	16.408964223791493	1282465732.5706367	1282455712.5706367	1282475752.5706367
GRB200903902	21.74207842073385	1283242438.5760994	1283233018.5760994	1283233018.5760994
GRB200915144	16.07017042438188	1284186615.2470942	1284176595.2470942	1284196635.2470942
GRB200915846	24.195848664746435	1284319235.3418427	1284236255.3418427	1284242135.3418427
GRB200919569	16.710225659562486	1284632031.0635614	1284622071.0635614	1284641991.0635614
GRB200920831	11.978568589165322	1284742679.57016	1284732359.57016	1284753059.57016
GRB200922718	21.066069163141186	1284834593.6175833	1284830033.6175833	1284911273.6175833
GRB200928290	33.365173979608585	1285322099.000371	1285314899.000371	1285314899.000371
GRB201008443	27.000256268462653	1286208396.7054749	1286199816.7054749	1286199816.7054749
GRB201016019	21.066910459885165	1286900689.5926495	1286891209.5926495	1286891209.5926495
GRB201104622	20.347149431189056	1288550121.0640411	1288540521.0640411	1288540521.0640411
GRB201105215	22.738978729919566	1288638452.2326145	1288629152.2326145	1288629152.2326145
GRB201105482	15.589118948283552	1288657649.3739748	1288647569.3739748	1288667729.3739748
GRB201109105	24.207263173258426	1288959485.7931108	1288950425.7931108	1288968545.7931108
GRB201111323	35.59539145380682	1289118525.9842691	1289115945.9842691	1289125065.9842691
GRB201130230	10.523216091447297	1290776089.5518112	1290765649.5518112	1290786529.5518112
GRB201214672	10.007171688166817	1292073826.6168804	1291997266.6168804	1292063326.6168804
GRB201221591	13.004098712935223	1292658463.0143938	1292648203.0143938	1292668723.0143938
GRB201221963	23.032994972981523	1292672914.3267202	1292663674.3267202	1292663674.3267202
GRB201231622	19.99889816011866	1293523483.002077	1293513823.002077	1293513823.002077
GRB210309999	24.95918998545641	1299387055.1290169	1299378115.1290169	1299378115.1290169
GRB210323918	6.458204575422871	1300635138.3964996	1300624518.3964996	1300645818.3964996
GRB210326057	3.8739073945075737	1300831464.9260159	1300820724.9260159	1300820724.9260159
GRB210404141	16.77248392004812	1301548882.3981438	1301541802.3981438	1301625082.3981438
GRB210413991	30.487880201263753	1302413032.4507809	1302405172.4507809	1302420952.4507809
GRB210417957	16.78327373117267	1302750887.0418625	1302740927.0418625	1302760847.0418625
GRB210424694	18.668215282146278	1303360920.978528	1303351140.978528	1303351140.978528
GRB210501940	37.314628538343136	1303972262.1551332	1303966262.1551332	1303966262.1551332
GRB210507778	26.45641084512461	1304504858.0415068	1304496218.0415068	1304513558.0415068
GRB210510806	25.75057625432435	1304740980.8303423	1304732160.8303423	1304732160.8303423
GRB210512789	4.92102135686834	1304900283.3178558	1304889603.3178558	1304889603.3178558
GRB210518889	17.81113978392996	1305430397.9147034	1305420557.9147034	1305420557.9147034
GRB210529677	34.554066094000845	1306422024.7202215	1306340124.7202215	1306415124.7202215
GRB210601724	7.7368192337602855	1306656433.537056	1306645813.537056	1306645813.537056
GRB210618072	26.982438345799345	1308025596.140275	1308017016.140275	1308017016.140275
GRB210619532	6.473189928112031	1308159223.7297182	1308148543.7297182	1308148543.7297182
GRB210711432	9.592902170736076	1310119134.1745281	1310034114.1745281	1310108634.1745281
GRB210715866	12.302121207786033	1310458890.6073923	1310448570.6073923	1310469270.6073923
GRB210822729	1.0395262911874525	1313712984.488986	1313702304.488986	1313723724.488986
GRB210903021	3.401422325878318	1314668626.0471973	1314664246.0471973	1314679366.0471973
GRB210912522	2.2281064564215063	1315546414.2916613	1315535674.2916613	1315535674.2916613
GRB210927031	11.258317792456875	1316814477.858614	1316738637.858614	1316804097.858614
GRB210929154	6.564681730727673	1317006279.2560806	1316922099.2560806	1316930799.2560806
GRB210929821	16.566636216747636	1316993182.411008	1316983222.411008	1316983222.411008
GRB211021460	8.183332847997265	1318918734.311366	1318908174.311366	1318929294.311366
GRB211024065	25.85982710469339	1319091071.3987713	1319082251.3987713	1319082251.3987713
GRB211104782	1.3476449025978525	1320122350.8053188	1320111610.8053188	1320111610.8053188
GRB211217295	14.423603429548159	1323825510.3273125	1323815310.3273125	1323815310.3273125
GRB220104167	22.957349647843508	1325335502.6037407	1325326262.6037407	1325326262.6037407
GRB220114585	30.89975263869258	1326284507.4128828	1326204107.4128828	1326276707.4128828
