### GRB	ra	dec	Error radius	Trigger	T90	eT90	T90 start	flux64	err flux64	T50	eT50	T50 start
GRB141205337	92.859	37.876	0.033	56996.337007995	1.28	0.572	-0.256	6.3299	1.5881	0.256	0.572	0.0
GRB141206254	320.56	2.42	9.29	56997.254070718	4.608	1.557	-1.28	3.4086	0.8422	2.048	0.724	-0.512
GRB141208632	359.26	26.44	16.98	56999.631924993	0.96	0.834	-0.96	6.7821	1.4608	0.576	0.429	-0.64
GRB141213300	248.19	18.06	8.72	57004.300178577	0.768	0.513	-0.064	15.8008	1.5719	0.192	0.072	0.032
GRB150101270	312.603	36.7332	0.0008	57023.270066683	0.48	0.959	-0.416	5.8286	1.1926	0.224	0.101	-0.256
GRB150110923	289.36	32.522	0.05	57032.922591549	2.56	0.832	-1.024	3.9462	1.1889	1.152	0.231	-0.32
GRB150120123	10.3188	33.9948	0.001	57042.123460702	3.328	1.382	-0.64	4.7869	1.3561	0.576	0.32	-0.256
GRB150201040	5.63	19.75	13.92	57054.039517231	0.512	1.154	-0.32	4.978	1.2227	0.128	0.373	-0.192
GRB150208929	350.67	34.89	4.17	57061.928687689	0.128	0.528	-0.128	5.0785	1.1755	0.064	0.202	-0.128
GRB150215026	305.62	3.38	14.68	57068.026002282	0.512	0.716	-0.256	2.6168	0.7431	0.256	0.231	-0.192
GRB150226223	63.5	22.51	1.28	57079.222532152	1.408	0.181	-0.064	36.3272	2.107	0.512	0.091	0.256
GRB150316400	15.89	53.14	11.44	57097.400106465	1.984	1.541	-1.472	2.9577	1.0714	0.896	0.543	-1.216
GRB150325696	133.14	37.75	10.17	57106.695862213	0.08	0.92	-0.032	6.4082	1.038	0.032	0.045	-0.016
GRB150412507	186.79	2.91	17.59	57124.507369695	0.576	1.319	-0.128	5.9032	1.0491	0.256	0.231	-0.128
GRB150412931	220.26	20.13	8.11	57124.93097456	0.64	0.861	-0.448	4.9471	0.9535	0.256	0.143	-0.128
GRB150506972	29.25	-3.37	15.95	57148.971703676	0.384	0.181	-0.192	4.9413	0.8674	0.192	0.143	-0.064
GRB150522944	130.86	58.58	10.47	57164.943565601	1.024	0.58	-0.128	4.3657	0.9951	0.256	0.143	-0.064
GRB150605782	217.86	14.71	12.72	57178.782164765	0.176	1.243	-0.048	8.2619	1.2928	0.016	0.045	-0.032
GRB150609316	52.26	31.63	14.15	57182.316196559	0.256	0.276	-0.24	4.6326	0.8436	0.016	0.195	-0.032
GRB150705588	66.54	-6.62	12.6	57208.588328796	0.704	0.73	-0.256	7.609	1.2983	0.128	0.181	-0.128
GRB150715136	157.26	23.57	19.91	57218.135742932	0.384	0.181	-0.192	4.5781	0.8813	0.192	0.091	-0.064
GRB150721431	251.6	20.06	29.32	57224.431324621	0.32	0.181	-0.064	5.948	1.3672	0.192	0.202	-0.064
GRB150728151	100.44	17.06	7.53	57231.151001083	1.728	0.373	0.0	7.7948	1.0132	1.344	0.181	0.064
GRB150810485	283.2	21.18	3.0	57244.484825346	1.28	1.026	-0.064	17.9371	1.1123	0.256	0.143	0.0
GRB150819440	59.386	39.701	0.5	57253.439808993	0.96	0.091	-0.064	148.439	3.7663	0.576	0.091	0.0
GRB150901924	16.34	13.52	17.12	57266.924125821	0.256	1.145	-0.064	7.0986	1.3136	0.128	0.202	-0.064
GRB150906944	212.04	1.09	5.19	57271.943603088	0.32	0.21	-0.256	13.5975	1.3608	0.032	0.023	-0.032
GRB150922234	294.381	-5.486	0.18	57287.23436431	0.144	0.036	-0.016	23.2828	1.261	0.064	0.045	0.048
GRB150923297	316.8	31.82	10.76	57288.296946575	0.192	1.462	-0.112	7.7422	1.0298	0.064	0.068	-0.048
GRB151022577	110.37	40.23	21.36	57317.577107513	0.32	0.648	-0.16	10.8668	1.5233	0.064	0.072	-0.032
GRB151024179	232.86	22.95	11.11	57319.179092135	4.608	2.36	-3.072	3.5067	1.1285	1.792	0.362	-1.536
GRB151222340	355.18	36.7	2.89	57378.340435463	0.768	0.362	-0.256	12.8641	1.8646	0.256	0.362	0.0
GRB151229486	346.49	6.91	16.11	57385.486185977	0.16	0.202	-0.064	6.0491	1.4331	0.064	0.072	-0.032
GRB151231568	150.08	28.81	3.05	57387.568150062	0.832	0.405	-0.064	14.7678	1.2153	0.192	0.091	0.0
GRB160211119	123.2	53.43	4.97	57429.118614305	0.96	1.042	-0.768	3.2025	1.1295	0.448	0.143	-0.384
GRB160219289	1.3524	-21.9573	20.0	57437.289098816	3.52	0.181	0.0	19.1923	1.1052	3.2	0.181	0.0
GRB160224911	319.87	0.75	9.41	57442.910681372	0.384	1.778	-0.064	4.5244	1.2489	0.256	0.231	0.064
GRB160314473	161.99	2.83	19.99	57461.473211666	1.664	0.73	-0.704	5.8799	1.1809	0.192	0.607	-0.064
GRB160315739	319.91	-22.11	23.05	57462.73947154	3.328	1.086	-2.816	3.8517	1.1909	1.536	0.923	-2.048
GRB160406503	261.797	32.263	11.8	57484.503203683	0.432	1.105	-0.336	17.2139	1.2349	0.064	0.045	-0.016
GRB160609690	24.35	44.95	10.41	57548.689775881	1.6	1.145	-0.32	2.6054	0.9448	0.448	0.547	-0.256
GRB160624477	330.191	29.6439	0.1	57563.477098988	0.384	0.405	-0.256	7.4316	1.0184	0.128	0.181	-0.064
GRB160628136	87.92	38.17	8.52	57567.136357498	5.888	2.429	-1.536	6.1343	1.292	1.792	1.379	-0.256
GRB160726065	98.821	-6.644	0.05	57595.065367108	0.768	0.345	-0.064	23.2535	1.4255	0.192	0.143	0.448
GRB160727971	145.99	16.4	3.86	57596.97070913	3.136	2.294	-2.24	7.6942	1.3077	1.28	0.516	-1.024
GRB160804180	122.86	50.3	6.69	57604.179667179	0.64	0.091	-0.064	11.2363	1.3495	0.384	0.091	0.064
GRB160804968	93.26	-7.66	6.13	57604.967752555	0.192	0.643	-0.16	12.9018	1.2267	0.064	0.072	-0.032
GRB160806584	274.477	10.607	0.54	57606.584009497	1.664	0.453	-0.192	18.5319	2.0951	0.448	0.181	0.128
GRB160814622	21.71	56.51	16.06	57614.621509048	1.664	1.9	-0.832	2.5488	0.7955	0.576	0.32	-0.64
GRB160818230	163.6	37.4	7.76	57618.229786369	2.176	0.905	-1.984	8.1791	2.0465	0.256	1.032	-0.192
GRB160820496	11.338	24.933	2.3	57620.495956554	0.448	0.143	-0.064	12.8839	1.0113	0.192	0.143	0.0
GRB160822672	272.129	3.584	0.54	57622.671990857	0.04	0.385	-0.016	295.758	42.807	0.008	0.018	-0.008
GRB160826938	104.46	-1.02	14.45	57626.938088868	1.792	0.773	-1.344	4.1098	1.0212	0.64	0.181	-0.832
