GRB ra dec Error_Radius T90 Zenith z
GRB141205337 92.859 37.876 0.033 1.28 18.87 0.55
GRB150101270 312.603 36.7332 0.0008 0.48 17.80 0.1340
GRB150101641 188.0 -11.0 0.0 0.08 29.17 0.829
GRB150110923 289.36 32.522 0.05 2.56 13.56 –
GRB150120123 10.3188 33.9948 0.001 3.328 15.08 0.46
GRB150819440 59.386 39.701 0.5 0.96 20.75 0.195
GRB150922234 294.381 -5.486 0.18 0.144 24.44 0.563
GRB160624477 330.191 29.6439 0.1 0.384 10.73 0.483
GRB160726065 98.821 -6.644 0.05 0.768 25.66 0.998
GRB160806584 274.477 10.607 0.54 1.664 8.38 0.503
GRB160822672 272.129 3.584 0.54 0.42 15.40 0.626
GRB170206453 212.79 14.48 0.85 1.168 4.60 0.353
GRB170222209 292.956 28.211 0.8 1.664 9.25 1.33
GRB170318644 284.306 6.2987 0.002 4.096 12.67 –
GRB170325331 127.483 20.526 0.03 0.576 1.47 2.278
GRB170403583 259.339 18.373 0.7 0.48 0.64 –
GRB170708046 335.835 19.798 0.5 0.144 0.89 –
GRB170816599 350.841 12.853 0.5 1.6 6.04 –
GRB170826369 64.338 21.074 0.856 0.256 2.12 –
GRB171007498 135.544 42.849 0.005 3.456 23.78 –
GRB180204109 330.134 30.8381 0.001 1.152 11.929 –
GRB180418281 170.121 24.9328 0.001 2.56 5.84 –
GRB180715755 235.069 -0.925 0.05 0.704 19.97 –
GRB170817529 197.5 -23.4 0.0 2.048 41.62 0.009
GRB180718082 336.019 2.79 0.05 0.08 16.11 –
GRB181125371 268.413 -2.613 0.05 3.84 21.61 –
GRB190427190 280.213 40.322 0.05 0.368 21.34 –
GRB190515190 137.687 29.276 0.907 1.264 10.20 –
GRB191031891 283.275 47.639 0.05 0.256 28.67 –
GRB201008443 161.859 46.1019 0.0013 2.048 27.00 –
GRB201214672 187.971 9.1031 0.0333 0.448 10.01 –
GRB201221963 171.059 42.1432 0.001 0.144 23.03 –
GRB210323918 317.946 25.3699 0.005 0.96 6.46 –
GRB210618072 235.82 46.043 0.05 3.584 26.98 –
GRB211024065 28.053 -6.973 0.1 0.064 25.859 –
GRB220412713 320.794 -0.223 0.01 0.16 19.13 –
GRB220511571 287.446 17.739 0.01 16.0 1.23 –
GRB220617772 156.96 15.53 0.09 0.704 3.58 –
GRB221022815 118.342 -5.117 0.08 6.912 24.17 –
GRB221120895 41.3225 43.197 0.01 0.64 24.30 –
